,datetime,usage
849,20190814T14-05,66951
850,20190814T13-05,63918
851,20190814T12-05,60519
852,20190814T11-05,56637
853,20190814T10-05,52758
854,20190814T09-05,49736
855,20190814T08-05,48495
856,20190814T07-05,48111
857,20190814T06-05,46688
858,20190814T05-05,45966
859,20190814T04-05,46440
860,20190814T03-05,47743
861,20190814T02-05,49794
862,20190814T01-05,52548
863,20190814T00-05,56437
864,20190813T23-05,61050
865,20190813T22-05,65643
866,20190813T21-05,68558
867,20190813T20-05,70691
868,20190813T19-05,72901
869,20190813T18-05,73969
870,20190813T17-05,74173
871,20190813T16-05,74181
872,20190813T15-05,73335
873,20190813T14-05,71072
874,20190813T13-05,67726
875,20190813T12-05,63660
876,20190813T11-05,59401
877,20190813T10-05,54993
878,20190813T09-05,51286
879,20190813T08-05,48828
880,20190813T07-05,48278
881,20190813T06-05,46780
882,20190813T05-05,46049
883,20190813T04-05,46604
884,20190813T03-05,48053
885,20190813T02-05,50304
886,20190813T01-05,53315
887,20190813T00-05,57128
888,20190812T23-05,61611
889,20190812T22-05,66095
890,20190812T21-05,69153
891,20190812T20-05,71564
892,20190812T19-05,73630
893,20190812T18-05,74457
894,20190812T17-05,74533
895,20190812T16-05,74181
896,20190812T15-05,73174
897,20190812T14-05,70836
898,20190812T13-05,67741
899,20190812T12-05,64071
900,20190812T11-05,59777
901,20190812T10-05,55404
902,20190812T09-05,51458
903,20190812T08-05,48959
904,20190812T07-05,48206
905,20190812T06-05,46530
906,20190812T05-05,45634
907,20190812T04-05,45857
908,20190812T03-05,47027
909,20190812T02-05,49053
910,20190812T01-05,51805
911,20190812T00-05,55584
912,20190811T23-05,60014
913,20190811T22-05,64002
914,20190811T21-05,66297
915,20190811T20-05,68483
916,20190811T19-05,70656
917,20190811T18-05,71855
918,20190811T17-05,71650
919,20190811T16-05,70521
920,20190811T15-05,68704
921,20190811T14-05,66127
922,20190811T13-05,62826
923,20190811T12-05,58909
924,20190811T11-05,54692
925,20190811T10-05,50295
926,20190811T09-05,46161
927,20190811T08-05,43287
928,20190811T07-05,43287
